#,Name,difficulty,link,number,class
1778A,"Flip Flop Sum greedy,  implementation",800.0,https://codeforces.com/problemset/problem/1778/A,1778,A
1777F,"Comfortably Numb bitmasks,  data structures,  divide and conquer,  strings,  trees",2400.0,https://codeforces.com/problemset/problem/1777/F,1777,F
1777E,"Edge Reverse binary search,  dfs and similar,  graphs,  trees",2200.0,https://codeforces.com/problemset/problem/1777/E,1777,E
1777D,"Score of a Tree bitmasks,  combinatorics,  dfs and similar,  dp,  math,  probabilities,  trees",1900.0,https://codeforces.com/problemset/problem/1777/D,1777,D
1777C,"Quiz Master binary search,  math,  number theory,  sortings,  two pointers",1700.0,https://codeforces.com/problemset/problem/1777/C,1777,C
1777B,"Emordnilap combinatorics,  greedy,  math",900.0,https://codeforces.com/problemset/problem/1777/B,1777,B
1777A,"Everybody Likes Good Arrays! greedy,  math",800.0,https://codeforces.com/problemset/problem/1777/A,1777,A
1776N,Count Permutations math,3500.0,https://codeforces.com/problemset/problem/1776/N,1776,N
1776M,"Parmigiana With Seafood binary search,  dp,  greedy,  trees",3000.0,https://codeforces.com/problemset/problem/1776/M,1776,M
1776L,"Controllers binary search,  math",1500.0,https://codeforces.com/problemset/problem/1776/L,1776,L
1776K,"Uniform Chemistry dp,  math",3200.0,https://codeforces.com/problemset/problem/1776/K,1776,K
1776J,"Italian Data Centers graphs,  shortest paths",2500.0,https://codeforces.com/problemset/problem/1776/J,1776,J
1776I,"Spinach Pizza games,  geometry,  greedy,  interactive",2500.0,https://codeforces.com/problemset/problem/1776/I,1776,I
1776H,Beppa and SwerChat two pointers,1300.0,https://codeforces.com/problemset/problem/1776/H,1776,H
1776G,"Another Wine Tasting Event combinatorics,  constructive algorithms,  math,  strings",2100.0,https://codeforces.com/problemset/problem/1776/G,1776,G
1776F,"Train Splitting constructive algorithms,  graphs,  greedy",1700.0,https://codeforces.com/problemset/problem/1776/F,1776,F
1776E,"Crossing the Railways data structures,  dp",3500.0,https://codeforces.com/problemset/problem/1776/E,1776,E
1776D,"Teamwork constructive algorithms,  greedy,  math",2800.0,https://codeforces.com/problemset/problem/1776/D,1776,D
1776C,"Library game games,  greedy,  interactive,  sortings",2500.0,https://codeforces.com/problemset/problem/1776/C,1776,C
1776B,"Vittorio Plays with LEGO Bricks dp,  geometry",2200.0,https://codeforces.com/problemset/problem/1776/B,1776,B
